"TEAM"	"PCT"	"Player"	"Pos"	"Age"	"GP"	"PER"
"3123"	"atlanta hawks"	0.353658536585366	"Bill Willoughby"	"SF"	18	62	13.8
"11148"	"portland trail blazers"	0.597560975609756	"Jermaine O'Neal"	"PF"	18	45	13.7
"11197"	"los angeles lakers"	0.682926829268293	"Kobe Bryant"	"SF"	18	71	14.4
"11874"	"toronto raptors"	0.195121951219512	"Tracy McGrady"	"SF"	18	64	17.4
"11910"	"indiana pacers"	0.66	"Al Harrington"	"PF"	18	21	6.4
"11966"	"dallas mavericks"	0.38	"Bruno Šundov"	"C"	18	3	-8.8
"14382"	"detroit pistons"	0.658536585365854	"Darko Milicic"	"C"	18	34	6.1
"14562"	"phoenix suns"	0.353658536585366	"Maciej Lampe"	"C"	18	21	12.2
"14803"	"golden state warriors"	0.414634146341463	"Andris Biedrinš"	"C"	18	30	14.8
"15321"	"detroit pistons"	0.780487804878049	"Amir Johnson"	"SF"	18	3	20.3
"15332"	"los angeles lakers"	0.548780487804878	"Andrew Bynum"	"C"	18	46	7.4
"15379"	"utah jazz"	0.5	"C.J. Miles"	"PG"	18	23	13.8
"15808"	"los angeles clippers"	0.573170731707317	"Yaroslav Korolev"	"SF"	18	24	4.8
"2936"	"detroit pistons"	0.48780487804878	"Eric Money"	"SG"	19	66	11.3
"3163"	"philadelphia 76ers"	0.560975609756098	"Darryl Dawkins"	"C"	19	37	14.3
"3385"	"atlanta hawks"	0.378048780487805	"Bill Willoughby"	"SF"	19	39	13.4
"4400"	"brooklyn nets"	0.414634146341463	"Cliff Robinson"	"PF"	19	70	17
"10696"	"minnesota timberwolves"	0.317073170731707	"Kevin Garnett"	"SF"	19	80	15.8
"11356"	"minnesota timberwolves"	0.48780487804878	"Stephon Marbury"	"PG"	19	67	16.1
"11663"	"portland trail blazers"	0.560975609756098	"Jermaine O'Neal"	"PF"	19	60	12.7
"11710"	"los angeles lakers"	0.74390243902439	"Kobe Bryant"	"SF"	19	79	18.5
"12263"	"oklahoma city thunder"	0.5	"Rashard Lewis"	"SF"	19	20	4.5
"12275"	"charlotte hornets"	0.52	"Ricky Davis"	"SG"	19	46	12.9
"12348"	"toronto raptors"	0.46	"Tracy McGrady"	"SF"	19	49	20.6
"12385"	"indiana pacers"	0.682926829268293	"Al Harrington"	"PF"	19	50	10.8
"12443"	"dallas mavericks"	0.48780487804878	"Bruno Šundov"	"C"	19	14	7.8
"12627"	"indiana pacers"	0.682926829268293	"Jonathan Bender"	"SF"	19	24	7.6
"12963"	"los angeles clippers"	0.378048780487805	"Darius Miles"	"SF"	19	81	14.7
"12982"	"utah jazz"	0.646341463414634	"DeShawn Stevenson"	"SG"	19	40	4.3
"13197"	"oklahoma city thunder"	0.536585365853659	"Olumide Oyedeji"	"C"	19	30	10.6
"13477"	"houston rockets"	0.341463414634146	"Eddie Griffin"	"PF"	19	73	13.8
"13481"	"chicago bulls"	0.25609756097561	"Eddy Curry"	"C"	19	72	14.4
"13507"	"sacramento kings"	0.74390243902439	"Gerald Wallace"	"SF"	19	54	13.3
"13605"	"washington wizards"	0.451219512195122	"Kwame Brown"	"PF"	19	57	11.2
"13770"	"san antonio spurs"	0.707317073170732	"Tony Parker"	"PG"	19	77	11.7
"13784"	"chicago bulls"	0.25609756097561	"Tyson Chandler"	"C"	19	71	13
"13902"	"cleveland cavaliers"	0.207317073170732	"Dajuan Wagner"	"SG"	19	47	10.9
"13996"	"milwaukee bucks"	0.51219512195122	"Jamal Sampson"	"PF"	19	5	8.4
"14130"	"denver nuggets"	0.207317073170732	"Nikoloz Tskitishvili"	"SF"	19	81	4.9
"14332"	"denver nuggets"	0.524390243902439	"Carmelo Anthony"	"SF"	19	82	17.6
"14343"	"toronto raptors"	0.402439024390244	"Chris Bosh"	"C"	19	75	15.1
"14526"	"boston celtics"	0.439024390243902	"Kendrick Perkins"	"C"	19	10	22.8
"14547"	"cleveland cavaliers"	0.426829268292683	"LeBron James"	"SG"	19	79	18.3
"14620"	"minnesota timberwolves"	0.707317073170732	"Ndudi Ebi"	"SF"	19	17	9.3
"14744"	"portland trail blazers"	0.5	"Travis Outlaw"	"PF"	19	8	16.4
"14773"	"orlando magic"	0.25609756097561	"Zaza Pachulia"	"C"	19	59	10.8
"14902"	"detroit pistons"	0.658536585365854	"Darko Milicic"	"C"	19	37	4.7
"14929"	"miami heat"	0.719512195121951	"Dorell Wright"	"SF"	19	3	5.2
"14933"	"orlando magic"	0.439024390243902	"Dwight Howard"	"PF"	19	82	17.2
"14973"	"portland trail blazers"	0.329268292682927	"Ha Seung-Jin"	"C"	19	19	2.5
"14979"	"new orleans pelicans"	0.219512195121951	"J.R. Smith"	"SG"	19	76	10.9
"15039"	"atlanta hawks"	0.158536585365854	"Josh Smith"	"SF"	19	74	15.4
"15071"	"utah jazz"	0.317073170731707	"Kris Humphries"	"PF"	19	67	9.5
"15096"	"chicago bulls"	0.573170731707317	"Luol Deng"	"SF"	19	61	14.2
"15097"	"new orleans pelicans"	0.219512195121951	"Maciej Lampe"	"C"	19	21	8.3
"15175"	"washington wizards"	0.548780487804878	"Peter John Ramos"	"C"	19	6	8.2
"15202"	"oklahoma city thunder"	0.634146341463415	"Robert Swift"	"C"	19	16	5.2
"15226"	"portland trail blazers"	0.329268292682927	"Sebastian Telfair"	"PG"	19	68	9.7
"15232"	"los angeles clippers"	0.451219512195122	"Shaun Livingston"	"PG"	19	30	10.4
"15272"	"new york knicks"	0.402439024390244	"Trevor Ariza"	"SF"	19	80	13.3
"15323"	"washington wizards"	0.51219512195122	"Andray Blatche"	"PF"	19	29	10.1
"15333"	"golden state warriors"	0.414634146341463	"Andris Biedrinš"	"C"	19	68	13.6
"15605"	"philadelphia 76ers"	0.463414634146341	"Lou Williams"	"PG"	19	30	9
"15629"	"portland trail blazers"	0.25609756097561	"Martell Webster"	"SF"	19	61	11.6
"15630"	"cleveland cavaliers"	0.609756097560976	"Martynas Andriuškevicius"	"C"	19	6	15.5
"15631"	"atlanta hawks"	0.317073170731707	"Marvin Williams"	"PF"	19	79	12.2
"15834"	"detroit pistons"	0.646341463414634	"Amir Johnson"	"PF"	19	8	20.6
"15847"	"los angeles lakers"	0.51219512195122	"Andrew Bynum"	"C"	19	82	15.4
"15884"	"utah jazz"	0.621951219512195	"C.J. Miles"	"SG"	19	37	2.8
"15977"	"milwaukee bucks"	0.341463414634146	"Ersan Ilyasova"	"PF"	19	66	12.1
"16300"	"los angeles clippers"	0.48780487804878	"Yaroslav Korolev"	"SF"	19	10	8
"16584"	"oklahoma city thunder"	0.24390243902439	"Kevin Durant"	"SG"	19	80	15.8
"16773"	"sacramento kings"	0.463414634146341	"Spencer Hawes"	"C"	19	71	11.6
"16792"	"philadelphia 76ers"	0.48780487804878	"Thaddeus Young"	"PF"	19	74	16.5
"16868"	"golden state warriors"	0.353658536585366	"Anthony Randolph"	"PF"	19	63	16.9
"17113"	"utah jazz"	0.585365853658537	"Kosta Koufos"	"C"	19	48	15.2
"17618"	"philadelphia 76ers"	0.329268292682927	"Jrue Holiday"	"PG"	19	73	12.3
"18003"	"brooklyn nets"	0.292682926829268	"Derrick Favors"	"PF"	19	56	12.6
"18393"	"memphis grizzlies"	0.560975609756098	"Xavier Henry"	"SG"	19	38	7
"18439"	"charlotte hornets"	0.106060606060606	"Bismack Biyombo"	"C"	19	63	10.6
